movieID,movieDescription,movieScores,userReviews,criticReviews,metascore,nominationUrl,storyLine,taglines,genres,certificate,cast,faq,videos,photos,technicalSpecs
Q2l2aWwgV2Fy,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.","[<li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt17279496/reviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">681</span><span class=""label"">User reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt17279496/externalreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">252</span><span class=""label"">Critic reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt17279496/criticreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score""><span class=""sc-b0901df4-0 bcQdDJ metacritic-score-box"" style=""background-color:#54A72A"">75</span></span><span class=""label""><span class=""metacritic-score-label"">Metascore</span></span></span></a></li>]","['/title/tt17279496/reviews/?ref_=tt_ov_rt', '681', 'User reviews']","['/title/tt17279496/externalreviews/?ref_=tt_ov_rt', '252', 'Critic reviews']","['/title/tt17279496/criticreviews/?ref_=tt_ov_rt', '75', '75']",/title/tt17279496/fullcredits/cast?ref_=tt_ov_st_sm,"From epic stunts and mind-blowing effects to heart-racing stories and memorable characters, here's the latest in action movies and series.",1 nomination,DirectorAlex Garland,1 nomination,/title/tt17279496/fullcredits/cast/?ref_=tt_cl_sm,/title/tt17279496/faq/?ref_=tt_faq_sm,/title/tt17279496/videogallery/?ref_=tt_vi_sm,/title/tt17279496/mediaviewer/rm2561046529/?ref_=tt_mi_sm,/title/tt17279496/technical?ref_=tt_spec_sm
Q2hhbGxlbmdlcnM=,"Tashi, a former tennis prodigy turned coach, turned her husband into a champion. But to overcome a losing streak, he needs to face his ex-best friend and Tashi's ex-boyfriend.","[<li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt16426418/reviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">124</span><span class=""label"">User reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt16426418/externalreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">151</span><span class=""label"">Critic reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt16426418/criticreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score""><span class=""sc-b0901df4-0 bcQdDJ metacritic-score-box"" style=""background-color:#54A72A"">83</span></span><span class=""label""><span class=""metacritic-score-label"">Metascore</span></span></span></a></li>]","['/title/tt16426418/reviews/?ref_=tt_ov_rt', '124', 'User reviews']","['/title/tt16426418/externalreviews/?ref_=tt_ov_rt', '151', 'Critic reviews']","['/title/tt16426418/criticreviews/?ref_=tt_ov_rt', '83', '83']",/title/tt16426418/fullcredits/cast?ref_=tt_ov_st_sm,"Zendaya, Mike Faist, and Josh O'Connor discuss the real motives behind the film's complicated lead character and how director Luca Guadagnino introduced a new perspective to the dynamic cast.",1 nomination,DirectorLuca Guadagnino,1 nomination,/title/tt16426418/fullcredits/cast/?ref_=tt_cl_sm,/title/tt16426418/faq/?ref_=tt_faq_sm,/title/tt16426418/videogallery/?ref_=tt_vi_sm,/title/tt16426418/mediaviewer/rm850673921/?ref_=tt_mi_sm,/title/tt16426418/technical?ref_=tt_spec_sm
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,"Kora and surviving warriors prepare to defend Veldt, their new home, alongside its people against the Realm. The warriors face their pasts, revealing their motivations before the Realm's forces arrive to crush the growing rebellion.","[<li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt23137904/reviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">500</span><span class=""label"">User reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt23137904/externalreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">94</span><span class=""label"">Critic reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt23137904/criticreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score""><span class=""sc-b0901df4-0 bcQdDJ metacritic-score-box"" style=""background-color:#FF0000"">35</span></span><span class=""label""><span class=""metacritic-score-label"">Metascore</span></span></span></a></li>]","['/title/tt23137904/reviews/?ref_=tt_ov_rt', '500', 'User reviews']","['/title/tt23137904/externalreviews/?ref_=tt_ov_rt', '94', 'Critic reviews']","['/title/tt23137904/criticreviews/?ref_=tt_ov_rt', '35', '35']",/title/tt23137904/fullcredits/writer?ref_=tt_ov_wr_sm,Zack Snyder's third film to debut on Netflix after Army of the Dead (2021) and Rebel Moon Part 1: A Child of Fire,Zack Snyder,DirectorZack Snyder,Zack Snyder,/title/tt23137904/fullcredits/cast/?ref_=tt_cl_sm,/title/tt23137904/faq/?ref_=tt_faq_sm,/title/tt23137904/videogallery/?ref_=tt_vi_sm,/title/tt23137904/mediaviewer/rm2449294593/?ref_=tt_mi_sm,/title/tt23137904/technical?ref_=tt_spec_sm
QWJpZ2FpbA==,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.","[<li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt27489557/reviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">121</span><span class=""label"">User reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt27489557/externalreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">143</span><span class=""label"">Critic reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt27489557/criticreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score""><span class=""sc-b0901df4-0 bcQdDJ metacritic-score-box"" style=""background-color:#54A72A"">62</span></span><span class=""label""><span class=""metacritic-score-label"">Metascore</span></span></span></a></li>]","['/title/tt27489557/reviews/?ref_=tt_ov_rt', '121', 'User reviews']","['/title/tt27489557/externalreviews/?ref_=tt_ov_rt', '143', 'Critic reviews']","['/title/tt27489557/criticreviews/?ref_=tt_ov_rt', '62', '62']",/title/tt27489557/fullcredits/writer?ref_=tt_ov_wr_sm,"Kathryn Newton, Dan Stevens, Alisha Weir, Melissa Barrera, Kevin Durand, and William Catlett play a game of ""Who Said What?""",Matt Bettinelli-OlpinTyler Gillett,DirectorsMatt Bettinelli-OlpinTyler Gillett,Matt Bettinelli-OlpinTyler Gillett,/title/tt27489557/fullcredits/cast/?ref_=tt_cl_sm,/title/tt27489557/faq/?ref_=tt_faq_sm,/title/tt27489557/videogallery/?ref_=tt_vi_sm,/title/tt27489557/mediaviewer/rm543575809/?ref_=tt_mi_sm,/title/tt27489557/technical?ref_=tt_spec_sm
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,"[<li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt5177120/reviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">60</span><span class=""label"">User reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt5177120/externalreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">68</span><span class=""label"">Critic reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt5177120/criticreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score""><span class=""sc-b0901df4-0 bcQdDJ metacritic-score-box"" style=""background-color:#BB8A00"">57</span></span><span class=""label""><span class=""metacritic-score-label"">Metascore</span></span></span></a></li>]","['/title/tt5177120/reviews/?ref_=tt_ov_rt', '60', 'User reviews']","['/title/tt5177120/externalreviews/?ref_=tt_ov_rt', '68', 'Critic reviews']","['/title/tt5177120/criticreviews/?ref_=tt_ov_rt', '57', '57']",/title/tt5177120/fullcredits/writer?ref_=tt_ov_wr_sm,"From epic stunts and mind-blowing effects to heart-racing stories and memorable characters, here's the latest in action movies and series.",Guy Ritchie,DirectorGuy Ritchie,Guy Ritchie,/title/tt5177120/fullcredits/cast/?ref_=tt_cl_sm,/title/tt5177120/faq/?ref_=tt_faq_sm,/title/tt5177120/videogallery/?ref_=tt_vi_sm,/title/tt5177120/mediaviewer/rm1675379201/?ref_=tt_mi_sm,/title/tt5177120/technical?ref_=tt_spec_sm
RGVhZHBvb2wgJiBXb2x2ZXJpbmU=,"Wolverine is recovering from his injuries when he crosses paths with the loudmouth, Deadpool. They team up to defeat a common enemy.","[<li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt6263850/externalreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""less-than-three-Elements""><span class=""score"">4</span><span class=""label"">Critic reviews</span></span></a></li>]",,,,/title/tt6263850/fullcredits/writer?ref_=tt_ov_wr_sm,"From epic stunts and mind-blowing effects to heart-racing stories and memorable characters, here's the latest in action movies and series.",Shawn Levy,DirectorShawn Levy,Shawn Levy,/title/tt6263850/fullcredits/cast/?ref_=tt_cl_sm,/title/tt6263850/technical?ref_=tt_spec_sm,/title/tt6263850/videogallery/?ref_=tt_vi_sm,/title/tt6263850/mediaviewer/rm3224664321/?ref_=tt_mi_sm,/title/tt6263850/news/?ref_=tt_nwr_sm
RHVuZTogUGFydCBUd28=,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,"[<li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt15239678/reviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">2.1K</span><span class=""label"">User reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt15239678/externalreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">357</span><span class=""label"">Critic reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt15239678/criticreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score""><span class=""sc-b0901df4-0 bcQdDJ metacritic-score-box"" style=""background-color:#54A72A"">79</span></span><span class=""label""><span class=""metacritic-score-label"">Metascore</span></span></span></a></li>]","['/title/tt15239678/reviews/?ref_=tt_ov_rt', '2.1K', 'User reviews']","['/title/tt15239678/externalreviews/?ref_=tt_ov_rt', '357', 'Critic reviews']","['/title/tt15239678/criticreviews/?ref_=tt_ov_rt', '79', '79']",/title/tt15239678/fullcredits/cast?ref_=tt_ov_st_sm,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Austin Butler, Florence Pugh, and more of the cast of Dune: Part 2 reveal the performances that drew them into the world of Arrakis.",2 nominations,DirectorDenis Villeneuve,2 nominations,/title/tt15239678/fullcredits/cast/?ref_=tt_cl_sm,/title/tt15239678/faq/?ref_=tt_faq_sm,/title/tt15239678/videogallery/?ref_=tt_vi_sm,/title/tt15239678/mediaviewer/rm3724428801/?ref_=tt_mi_sm,/title/tt15239678/technical?ref_=tt_spec_sm
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,"A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.","[<li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt14966898/reviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">269</span><span class=""label"">User reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt14966898/externalreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">164</span><span class=""label"">Critic reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt14966898/criticreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score""><span class=""sc-b0901df4-0 bcQdDJ metacritic-score-box"" style=""background-color:#54A72A"">72</span></span><span class=""label""><span class=""metacritic-score-label"">Metascore</span></span></span></a></li>]","['/title/tt14966898/reviews/?ref_=tt_ov_rt', '269', 'User reviews']","['/title/tt14966898/externalreviews/?ref_=tt_ov_rt', '164', 'Critic reviews']","['/title/tt14966898/criticreviews/?ref_=tt_ov_rt', '72', '72']",/title/tt14966898/fullcredits/cast?ref_=tt_ov_st_sm,"The Carmichael character is very clearly based (including physically) on the real-life James Randi. Randi was a talented magician who became a famous psychic debunker and he started an institute that offered a large reward to anyone that could reproduce their supposed paranormal powers in controlled conditions. Over decades, nobody was able to win the money.",2 wins & 1 nomination,DirectorsCameron CairnesColin Cairnes,2 wins & 1 nomination,/title/tt14966898/fullcredits/cast/?ref_=tt_cl_sm,/title/tt14966898/faq/?ref_=tt_faq_sm,/title/tt14966898/videogallery/?ref_=tt_vi_sm,/title/tt14966898/mediaviewer/rm3567142657/?ref_=tt_mi_sm,/title/tt14966898/technical?ref_=tt_spec_sm
TW9ua2V5IE1hbg==,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.,"[<li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt9214772/reviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">334</span><span class=""label"">User reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt9214772/externalreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">180</span><span class=""label"">Critic reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt9214772/criticreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score""><span class=""sc-b0901df4-0 bcQdDJ metacritic-score-box"" style=""background-color:#54A72A"">70</span></span><span class=""label""><span class=""metacritic-score-label"">Metascore</span></span></span></a></li>]","['/title/tt9214772/reviews/?ref_=tt_ov_rt', '334', 'User reviews']","['/title/tt9214772/externalreviews/?ref_=tt_ov_rt', '180', 'Critic reviews']","['/title/tt9214772/criticreviews/?ref_=tt_ov_rt', '70', '70']",/title/tt9214772/fullcredits/writer?ref_=tt_ov_wr_sm,"Dev Patel discusses his starring role and directorial feature debut, and the challenges he faced while filming with a broken hand.",1 win,DirectorDev Patel,1 win,/title/tt9214772/fullcredits/cast/?ref_=tt_cl_sm,/title/tt9214772/faq/?ref_=tt_faq_sm,/title/tt9214772/videogallery/?ref_=tt_vi_sm,/title/tt9214772/mediaviewer/rm2472625409/?ref_=tt_mi_sm,/title/tt9214772/technical?ref_=tt_spec_sm
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,"When a peaceful settlement on the edge of a distant moon finds itself threatened by a tyrannical ruling force, a stranger living among its villagers becomes their best hope for survival.","[<li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt14998742/reviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">1.9K</span><span class=""label"">User reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt14998742/externalreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score"">172</span><span class=""label"">Critic reviews</span></span></a></li>, <li class=""ipc-inline-list__item sc-9e83797f-1 cxyOpW"" role=""presentation""><a aria-disabled=""false"" class=""ipc-link ipc-link--baseAlt ipc-link--touch-target sc-9e83797f-2 cfrylA isReview"" href=""/title/tt14998742/criticreviews/?ref_=tt_ov_rt"" role=""button"" tabindex=""0""><span class=""three-Elements""><span class=""score""><span class=""sc-b0901df4-0 bcQdDJ metacritic-score-box"" style=""background-color:#FF0000"">31</span></span><span class=""label""><span class=""metacritic-score-label"">Metascore</span></span></span></a></li>]","['/title/tt14998742/reviews/?ref_=tt_ov_rt', '1.9K', 'User reviews']","['/title/tt14998742/externalreviews/?ref_=tt_ov_rt', '172', 'Critic reviews']","['/title/tt14998742/criticreviews/?ref_=tt_ov_rt', '31', '31']",/title/tt14998742/fullcredits/writer?ref_=tt_ov_wr_sm,"Zack Snyder first conceived this as a Star Wars movie, and pitched it to Lucasfilm shortly after it was bought by Disney in 2012, but it never got off the ground.",2 wins & 3 nominations,DirectorZack Snyder,2 wins & 3 nominations,/title/tt14998742/fullcredits/cast/?ref_=tt_cl_sm,/title/tt14998742/faq/?ref_=tt_faq_sm,/title/tt14998742/videogallery/?ref_=tt_vi_sm,/title/tt14998742/mediaviewer/rm3427491329/?ref_=tt_mi_sm,/title/tt14998742/technical?ref_=tt_spec_sm
