movieID,movieImg,movieMoreUrl,movieTitle,movieYear,movieTime,movieAvgRating,movieRatingCount
Q2l2aWwgV2Fy,"https://m.media-amazon.com/images/M/MV5BYTYyODhlODktYjUzNC00NjUyLWI1MzYtNmI0MTY3YTUxYjY2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt17279496/?ref_=chtmvm_t_1,Civil War,2024,1h 49m,7.6,49K
Q2hhbGxlbmdlcnM=,"https://m.media-amazon.com/images/M/MV5BNTk1MTdmYzctNzlkOS00ZTNmLWI4ZTMtMzc3OWFkMDI0MTJkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt16426418/?ref_=chtmvm_t_2,Challengers,2024,2h 11m,7.8,11K
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,"https://m.media-amazon.com/images/M/MV5BYmQ2ODgyZjMtMmQyMy00ZWRhLTllOGUtZDI3MDkzNjFhZWQ2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt23137904/?ref_=chtmvm_t_3,Rebel Moon - Part Two: The Scargiver,2024,2h 2m,5.2,29K
QWJpZ2FpbA==,"https://m.media-amazon.com/images/M/MV5BY2JlYjlkNzMtNTU3OS00NDVmLTk4NTYtYTM4ZTEwMGM4NDBiXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,7,140,207_.jpg",/title/tt27489557/?ref_=chtmvm_t_4,Abigail,2024,1h 49m,7.1,10K
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,"https://m.media-amazon.com/images/M/MV5BOWI5YTlkNTktOTJlMC00MmYyLThkNzQtYmExOGZkZDE1ZjgwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt5177120/?ref_=chtmvm_t_5,The Ministry of Ungentlemanly Warfare,2024,2h,7.3,7.1K
RGVhZHBvb2wgJiBXb2x2ZXJpbmU=,"https://m.media-amazon.com/images/M/MV5BOWI2YjAxODctOTAzYi00ZmQ5LWE0ZmEtOGMxMTUzYmVjYzY2XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt6263850/?ref_=chtmvm_t_6,Deadpool & Wolverine,2024,,,
RHVuZTogUGFydCBUd28=,"https://m.media-amazon.com/images/M/MV5BN2QyZGU4ZDctOWMzMy00NTc5LThlOGQtODhmNDI1NmY5YzAwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt15239678/?ref_=chtmvm_t_7,Dune: Part Two,2024,2h 46m,8.7,376K
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,"https://m.media-amazon.com/images/M/MV5BZDkyNjE0NzMtNTgxYS00MDE4LWI0OWYtZGNmNDcxNjRhMTY3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt14966898/?ref_=chtmvm_t_8,Late Night with the Devil,2023,1h 33m,7.1,31K
TW9ua2V5IE1hbg==,"https://m.media-amazon.com/images/M/MV5BNzZlODVjMzgtZGM1Yi00MWMwLTkyYTQtMzJlZjQ4MDgwYzg4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,7,140,207_.jpg",/title/tt9214772/?ref_=chtmvm_t_9,Monkey Man,2024,2h 1m,7.1,30K
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,"https://m.media-amazon.com/images/M/MV5BYzlhNzBmYjUtNjRmZC00MDg3LWE4NDMtZDNjODUwNTljMzhlXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt14998742/?ref_=chtmvm_t_10,Rebel Moon - Part One: A Child of Fire,2023,2h 13m,5.6,115K
QW55b25lIEJ1dCBZb3U=,"https://m.media-amazon.com/images/M/MV5BOTVhZGU2OWQtNDM1Ni00MzM3LTgzYjgtOTEwYzQzOWZjNTIyXkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt26047818/?ref_=chtmvm_t_11,Anyone But You,2023,1h 43m,6.2,72K
VGhlIEZhbGwgR3V5,"https://m.media-amazon.com/images/M/MV5BMjA5ZjA3ZjMtMzg2ZC00ZDc4LTk3MTctYTE1ZTUzZDIzMjQyXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UX140_CR0,7,140,207_.jpg",/title/tt1684562/?ref_=chtmvm_t_12,The Fall Guy,2024,2h 6m,7.3,5K
TG92ZSBMaWVzIEJsZWVkaW5n,"https://m.media-amazon.com/images/M/MV5BZTA1Y2Q0N2QtNjU2Yi00MTMxLWI4NmUtMWFjNzRkNzU1ODRhXkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt19637052/?ref_=chtmvm_t_13,Love Lies Bleeding,2024,1h 44m,6.9,13K
QXJneWxsZQ==,"https://m.media-amazon.com/images/M/MV5BZDM3YTg4MGUtZmUxNi00YmEyLTllNTctNjYyNjZlZGViNmFhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,7,140,207_.jpg",/title/tt15009428/?ref_=chtmvm_t_14,Argylle,2024,2h 19m,5.7,64K
R29kemlsbGEgeCBLb25nOiBUaGUgTmV3IEVtcGlyZQ==,"https://m.media-amazon.com/images/M/MV5BY2QwOGE2NGQtMWQwNi00M2IzLThlNWItYWMzNGQ5YWNiZDA4XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt14539740/?ref_=chtmvm_t_15,Godzilla x Kong: The New Empire,2024,1h 55m,6.5,40K
