movieID,specKey,specValue,specLink
Q2l2aWwgV2Fy,Runtime,1h 49m(109 min),
Q2l2aWwgV2Fy,Sound mix,Dolby DigitalIMAX 6-TrackDolby Atmos,/search/title/?sound_mixes=dolby_digital&ref_=ttspec_spec_2
Q2l2aWwgV2Fy,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
Q2l2aWwgV2Fy,Aspect ratio,1.85 : 1,
Q2l2aWwgV2Fy,Camera,"DJI Ronin 4DSony A7S III, Panavision Panaspeed and Sony G-Master Lenses(some shots)Sony CineAlta Venice 2, Panavision Panaspeed Lenses",
Q2l2aWwgV2Fy,Negative Format,AXSM,
Q2l2aWwgV2Fy,Cinematographic Process,"Digital Intermediate(4K, master format)X-OCN ST(8K, source format)",
Q2l2aWwgV2Fy,Printed Film Format,35 mmD-CinemaDCP Digital Cinema Package,
Q2l2aWwgV2Fy,,,
Q2l2aWwgV2Fy,,,
Q2hhbGxlbmdlcnM=,Runtime,2h 11m(131 min),
Q2hhbGxlbmdlcnM=,Sound mix,Dolby DigitalDolby Atmos,/search/title/?sound_mixes=dolby_digital&ref_=ttspec_spec_2
Q2hhbGxlbmdlcnM=,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
Q2hhbGxlbmdlcnM=,Aspect ratio,1.85 : 1,
Q2hhbGxlbmdlcnM=,Camera,"Arricam LT, Zeiss Master Prime LensesArricam ST, Zeiss Master Prime LensesArriflex 435, Zeiss Master Prime Lenses",
Q2hhbGxlbmdlcnM=,Negative Format,35 mm(Kodak Vision3 500T 5219),
Q2hhbGxlbmdlcnM=,Cinematographic Process,"Digital Intermediate(4K, source format)Super 35(3-perf, source format)",
Q2hhbGxlbmdlcnM=,Printed Film Format,D-Cinema,
Q2hhbGxlbmdlcnM=,,,
Q2hhbGxlbmdlcnM=,,,
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,Runtime,2h 2m(122 min),
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,Sound mix,Dolby AtmosDolby Digital,/search/title/?sound_mixes=dolby_atmos&ref_=ttspec_spec_2
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,Aspect ratio,2.76 : 1,
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,,,
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,,,
QWJpZ2FpbA==,Runtime,1h 49m(109 min),
QWJpZ2FpbA==,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
QWJpZ2FpbA==,Aspect ratio,2.39 : 1,
QWJpZ2FpbA==,Camera,ARRI Alexa LF,
QWJpZ2FpbA==,Negative Format,"Codex(4.5K, source format)",
QWJpZ2FpbA==,Cinematographic Process,"Digital Intermediate(4K, master format)",
QWJpZ2FpbA==,,,
QWJpZ2FpbA==,,,
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,Runtime,2h(120 min),
